Artist,Song Title,Min. Freq.,Max. Freq,URL
Ariana Grande,Dangerous Woman,146,987,https://www.youtube.com/watch?v=jppqAygqVTc
Josh Turner,Your Man,98,440,https://www.youtube.com/watch?v=h4N1Uedlgac
Taylor Swift,You Belong With Me,185,554,https://www.youtube.com/watch?v=5B_dHpwfBXE
Sabrina Carpenter,Nonsense,174,523,https://www.youtube.com/watch?v=qZaS1OT9xQI
One Direction,What Makes You Beautiful,123,415,https://www.youtube.com/watch?v=SLrJwiLsa9A
Abba,Dancing Queen,164,587,https://www.youtube.com/watch?v=WHayJZ3eMcE
The Beatles,Yellow Submarine,146,329,https://www.youtube.com/watch?v=zvDMgPt5Bxo
Earth Wind and Fire,September,202,587,https://www.youtube.com/watch?v=cKRmRYad318
Natasha Bedingfield,Unwritten,196,523,https://www.youtube.com/watch?v=ouyWpUyaY5k
Ryan Gosling,I'm Just Ken,247,784,https://www.youtube.com/watch?v=B7OpLSunE_w
Take On Me,a-ha,110,660,https://www.youtube.com/watch?v=bC4ER15Hj10
Breaking Free,Troy & Gabriella,220,932,https://www.youtube.com/watch?v=YwP9YSnOayk&pp=ygUVYnJlYWtpbmcgZnJlZSBrYXJhb2tl
Mitchell Hope,Did I Mention,261,1043,https://www.youtube.com/watch?v=0_p8p17vDJ0&pp=ygUjZGlkIGkgbWVudGlvbiBtaXRjaGVsbCBob3Bla2FyYW9rZSA%3D
Idina Menzel,Let it Go,174.61,622.25,https://www.youtube.com/watch?v=ifCAfAzOBJM&pp=ygUSbGV0IGl0IGdvIGthcmFva2Ug
Kelly Clarkson,Since U Been Gone,196,784,https://www.youtube.com/watch?v=B8S0l--gHgA&pp=ygUac2luY2UgdSBiZWVuIGdvbmUga2FyYW9rZSA%3D
Paramore,Still Into You,293.66,587.33,https://www.youtube.com/watch?v=2lPtXYwT-A4&pp=ygUWc3RpbGwgaW50byB5b3Uga2FyYW9rZQ%3D%3D
Bruno Mars,Just The Way You Are,174.61,523.25,https://www.youtube.com/watch?v=DIC1AzEgnnw&pp=ygUcanVzdCB0aGUgd2F5IHlvdSBhcmUga2FyYW9rZQ%3D%3D
The Goo Goo Dolls,Iris,146.83,440,https://www.youtube.com/watch?v=bi0hyLXusjo&pp=ygUMaXJpcyBrYXJhb2tl
Oasis,Wonderwall,196,440,https://www.youtube.com/watch?v=R_EXyGWI9rU&pp=ygUSd29uZGVyd2FsbCBrYXJhb2tl
The Beatles,Yesterday,146.83,349.23,https://www.youtube.com/watch?v=uw3zzQ-5g4o&pp=ygUReWVzdGVyZGF5IGthcmFva2U%3D
Journey,Don't Stop Believin',329.63,554.37,https://www.youtube.com/watch?v=c8wn2fMYvns&pp=ygUbZG9uJ3Qgc3RvcCBiZWxpZXZpbiBrYXJhb2tl
Frank Sinatra,Fly Me To The Moon,123.47,392,https://www.youtube.com/watch?v=VvjWl7lvrnk&pp=ygUbZmx5IG1lIHRvbyB0aGUgbW9vbiBrYXJhb2tl
Frank Sinatra,My Way,98,329.63,https://www.youtube.com/watch?v=tAEek8nO11c&pp=ygUObXkgd2F5IGthcmFva2U%3D
Lizzo,Juice,261.63,587.33,https://www.youtube.com/watch?v=VmRvV3GIluU&pp=ygUNanVpY2Uga2FyYW9rZQ%3D%3D
Prince,Purple Rain,82.41,392,https://www.youtube.com/watch?v=XV1o_ueDuuw&pp=ygUTcHVycGxlIHJhaW4ga2FyYW9rZQ%3D%3D
Backstreet Boys,I Want It That Way,196,587.33,https://www.youtube.com/watch?v=NxilU56kPu0&pp=ygUaaSB3YW50IGl0IHRoYXQgd2F5IGthcmFva2U%3D
Whitney Houston,I Wanna Dance With Somebody,196,587.33,https://www.youtube.com/watch?v=st-yPBxRVPM&pp=ygUjaSB3YW5uYSBkYW5jZSB3aXRoIHNvbWVib2R5IGthcmFva2U%3D
Journey,Don't Stop Believin',329.63,554.37,https://www.youtube.com/watch?v=c8wn2fMYvns&pp=ygUbZG9uJ3Qgc3RvcCBiZWxpZXZpbiBrYXJhb2tl
Ben E. King,Stand by Me,174.61,349.23,https://www.youtube.com/watch?v=OU3699R53rs&pp=ygUTc3RhbmQgYnkgbWUga2FyYW9rZQ%3D%3D
Eurythmics,Sweet Dreams,329.63,880,https://www.youtube.com/watch?v=z1GUP6eA2-s&pp=ygUUc3dlZXQgZHJlYW1zIGthcmFva2U%3D
Bruce Springstreen,Born to Run,130.81,415.3,https://www.youtube.com/watch?v=BkITLsJBHPg&pp=ygUTYm9ybiB0byBydW4ga2FyYW9rZQ%3D%3D
Amy Winehouse,Rehab,196,349.23,https://www.youtube.com/watch?v=RQZscYrhLtA&pp=ygUNcmVoYWIga2FyYW9rZQ%3D%3D
The Fugees,Killing Me Softly,196,440,https://www.youtube.com/watch?v=DKTlrfsLuhA&pp=ygUZa2lsbGluZyBtZSBzb2Z0bHkga2FyYW9rZQ%3D%3D
Nancy Sinatra,These Boots are Made for Walkin,261.63,523.25,https://www.youtube.com/watch?v=vkl-GXuQRF8&pp=ygUodGhlc2UgYm9vdHMgYXJlIG1hZGUgZm9yIHdhbGtpbmcga2FyYW9rZQ%3D%3D
George Michael,Faith,185,415.3,https://www.youtube.com/watch?v=vwLAD5v-XNo&pp=ygUNZmFpdGgga2FyYW9rZQ%3D%3D
Weezer,Say It Ain't So,233.08,932.33,https://www.youtube.com/watch?v=WAC36_fIa-Q&pp=ygUXc2F5IGl0IGFpbid0IHNvIGthcmFva2U%3D
Ronettes,Be My Baby,277.18,493.88,https://www.youtube.com/watch?v=3Y52_YwE7Oo&pp=ygUSYmUgbXkgYmFieSBrYXJhb2tl
Aretha Franklin,(You Make Me Feel Like) A Natural Woman,196,783.99,https://www.youtube.com/watch?v=eb0eF-Nl3FI&pp=ygUVbmF0dXJhbCB3b21hbiBrYXJhb2tl
Wham!,Wake Me Up Before You Go Go,130.81,659.26,https://www.youtube.com/watch?v=rGyX_pchRuA&pp=ygUjd2FrZSBtZSB1cCBiZWZvcmUgeW91IGdvIGdvIGthcmFva2U%3D
Jay-Z and Beyonce,Drunk in Love,146.83,622.25,https://www.youtube.com/watch?v=_4y0Yx9YC5Y&pp=ygUVZHJ1bmsgaW4gbG92ZSBrYXJhb2tl
Def Leppard,Pour Some Sugar on Me,233.08,554.37,https://www.youtube.com/watch?v=2ZSj5cEh-h8&pp=ygUdcG91ciBzb21lIHN1Z2FyIG9uIG1lIGthcmFva2U%3D
Erasure,A Little Respect,146.83,523.25,https://www.youtube.com/watch?v=BxisVD6ZGek&pp=ygUYYSBsaXR0bGUgcmVzcGVjdCBrYXJhb2tl
Miley Cyrus,Party in the U.S.A.,174.61,587.33,https://www.youtube.com/watch?v=kfa-26JfdDA&pp=ygUYcGFydHkgaW4gdGhlIHVzYSBrYXJhb2tl
Brandy and Monica,The Boy is Mine,207.65,369.99,https://www.youtube.com/watch?v=m1H9nRVWTko&pp=ygUXdGhlIGJveSBpcyBtaW5lIGthcmFva2U%3D
Wilson Phillips,Hold On,98,440,https://www.youtube.com/watch?v=4nmAbO4jla0&pp=ygUPaG9sZCBvbiBrYXJhb2tl
Adele,Someone Like You,196,783.99,https://www.youtube.com/watch?v=rMSQwIp4Jg8&pp=ygUYc29tZW9uZSBsaWtlIHlvdSBrYXJhb2tl
Radiohead,Creep,123.47,493.88,https://www.youtube.com/watch?v=3WLy3AblvmQ&pp=ygUNY3JlZXAga2FyYW9rZQ%3D%3D
Destiny's Child,Say My Name,233.08,587.33,https://www.youtube.com/watch?v=jQ_k9eDir0E&pp=ygUTc2F5IG15IG5hbWUga2FyYW9rZQ%3D%3D
